Name,PDF,Excel
"Table A-10. Difficulties in physical functioning among adults aged 18 and over, by selected characteristics: United States, 2018",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2018_SHS_Table_A-10.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2018_SHS_Table_A-10.xlsx
"Table A-11. Respondent-assessed health status among adults aged 18 and over, by selected characteristics: United States, 2018",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2018_SHS_Table_A-11.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2018_SHS_Table_A-11.xlsx
"Table A-12. Current cigarette smoking status among adults aged 18 and over, by selected characteristics: United States, 2018",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2018_SHS_Table_A-12.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2018_SHS_Table_A-12.xlsx
"Table A-13. Alcohol drinking status among adults aged 18 and over, by selected characteristics: United States, 2018",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2018_SHS_Table_A-13.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2018_SHS_Table_A-13.xlsx
"Table A-14. Participation in leisure-time aerobic and muscle-strengthening activities that meet the 2008 federal physical activity guidelines among adults aged 18 and over, by selected characteristics: United States, 2018",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2018_SHS_Table_A-14.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2018_SHS_Table_A-14.xlsx
"Table A-15. Body mass index among adults aged 18 and over, by selected characteristics: United States, 2018",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2018_SHS_Table_A-15.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2018_SHS_Table_A-15.xlsx
"Table A-16. Having a usual place of health care, and of type of place, among adults aged 18 and over, by selected characteristics: United States, 2018",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2018_SHS_Table_A-16.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2018_SHS_Table_A-16.xlsx
"Table A-17. Number of office visits to doctor or other health care professional in past 12 months among adults aged 18 and over, by selected characteristics: United States, 2018",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2018_SHS_Table_A-17.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2018_SHS_Table_A-17.xlsx
"Table A-18. Length of time since last contact with doctor or other health professional among adults aged 18 and over, by selected characteristics: United States, 2018",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2018_SHS_Table_A-18.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2018_SHS_Table_A-18.xlsx
"Table A-19. Length of time since last visit with dentist other dental health professional among adults aged 18 and over, by selected characteristics: United States, 2018",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2018_SHS_Table_A-19.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2018_SHS_Table_A-19.xlsx
